Time step, Pipe time (min), Pipe time (max), Pipe time (ave), Rend time (min), Rend time (max), Rend time (ave), Save time (min), Save time (max), Save time (ave), Comp time (min), Comp time (max), Comp time (ave)
1250, 0.000534, 0.001084, 0.000733, 0.010914, 0.160169, 0.0808457, 0, 0.014779, 0.00123217, 0.003653, 0.164262, 0.0768245
1260, 0.00052, 0.000698, 0.000600833, 0.198864, 0.567354, 0.347252, 0, 0.023765, 0.0019805, 1.06851, 1.45292, 1.29995
1270, 0.000879, 0.001389, 0.00097775, 0.016856, 0.200127, 0.106418, 0, 0.023376, 0.00194858, 0.004387, 0.218431, 0.103615
1280, 0.000843, 0.001018, 0.000927417, 0.016661, 0.197477, 0.103552, 0, 0.023378, 0.00194858, 0.004209, 0.208636, 0.100088
1290, 0.000568, 0.001578, 0.00099025, 0.01145, 0.199049, 0.103577, 0, 0.015475, 0.00129, 0.007367, 0.219749, 0.105247
1300, 0.000548, 0.001725, 0.000907333, 0.0112, 0.197866, 0.0944095, 0, 0.015182, 0.00126575, 0.004562, 0.198794, 0.104342
1310, 0.000545, 0.001031, 0.000770583, 0.011301, 0.19809, 0.0870646, 0, 0.01512, 0.00126058, 0.004417, 0.201924, 0.105111
1320, 0.000545, 0.001062, 0.000757583, 0.011308, 0.200419, 0.0865321, 0, 0.01562, 0.001302, 0.004072, 0.199695, 0.112173
1330, 0.000548, 0.001031, 0.000765083, 0.011017, 0.192345, 0.0896043, 0, 0.015298, 0.00127533, 0.004503, 0.196188, 0.0983267
1340, 0.000523, 0.001013, 0.000794417, 0.011096, 0.19871, 0.0908832, 0, 0.015236, 0.00127017, 0.004369, 0.186769, 0.100975
1350, 0.000528, 0.001033, 0.00073475, 0.011425, 0.19938, 0.0916935, 0, 0.023334, 0.00194475, 0.003297, 0.212894, 0.105469
1360, 0.000544, 0.000986, 0.000747833, 0.01062, 0.196747, 0.0877124, 0, 0.023469, 0.00195625, 0.004394, 0.209381, 0.104967
1370, 0.000527, 0.001002, 0.000699167, 0.011123, 0.182442, 0.0845187, 0, 0.015293, 0.00127575, 0.003929, 0.199087, 0.0955698
1380, 0.000552, 0.001059, 0.000730583, 0.011081, 0.199004, 0.0867681, 0, 0.015647, 0.00130433, 0.003599, 0.198829, 0.105222
1390, 0.000546, 0.001074, 0.000757583, 0.011193, 0.198181, 0.0758524, 0, 0.015101, 0.00125908, 0.004134, 0.190785, 0.110227
1400, 0.000553, 0.001062, 0.000734667, 0.011531, 0.197208, 0.0906416, 0, 0.015475, 0.00129025, 0.004009, 0.193021, 0.100291
1410, 0.00053, 0.001046, 0.000723, 0.011166, 0.192918, 0.0793693, 0, 0.015096, 0.0012585, 0.004475, 0.197302, 0.104287
1420, 0.000534, 0.001063, 0.000703917, 0.011366, 0.178348, 0.0811208, 0, 0.015248, 0.00127117, 0.003974, 0.17872, 0.0930016
1430, 0.000544, 0.001041, 0.00075, 0.01112, 0.192132, 0.0843246, 0, 0.015258, 0.001272, 0.004322, 0.197566, 0.101123
1440, 0.000541, 0.001058, 0.00077325, 0.011063, 0.192339, 0.0785348, 0, 0.015727, 0.00131108, 0.003504, 0.196451, 0.102273
1450, 0.000523, 0.001112, 0.00074475, 0.011183, 0.196432, 0.0848041, 0, 0.015195, 0.00126683, 0.003628, 0.203223, 0.105431
1460, 0.000527, 0.00107, 0.000774, 0.010922, 0.193127, 0.0805302, 0, 0.015025, 0.0012525, 0.003735, 0.184891, 0.104299
1470, 0.000541, 0.001061, 0.00075, 0.011051, 0.191583, 0.0794008, 0, 0.015196, 0.00126667, 0.003651, 0.195481, 0.105625
1480, 0.00054, 0.001053, 0.000768917, 0.011226, 0.18659, 0.08362, 0, 0.014902, 0.00124258, 0.002964, 0.176641, 0.0945133
1490, 0.000525, 0.001165, 0.000737083, 0.010923, 0.193175, 0.0843593, 0, 0.015237, 0.00127017, 0.004298, 0.200387, 0.103419
1510, 0.000526, 0.001103, 0.000728, 0.011173, 0.197163, 0.0910064, 0, 0.015662, 0.00130583, 0.005739, 0.20669, 0.107658
1520, 0.00055, 0.001426, 0.000847417, 0.011052, 0.194689, 0.0973631, 0, 0.016429, 0.00136958, 0.004407, 0.20606, 0.103671
1530, 0.000544, 0.00126, 0.000766917, 0.01182, 0.191878, 0.0859898, 0, 0.01535, 0.00127975, 0.003441, 0.187463, 0.103268
1540, 0.000551, 0.001066, 0.0007065, 0.011431, 0.188731, 0.0769073, 0, 0.015062, 0.0012555, 0.002915, 0.191756, 0.101016
1550, 0.000528, 0.001104, 0.000722583, 0.011082, 0.200115, 0.0866006, 0, 0.015241, 0.0012705, 0.002945, 0.206668, 0.110112
1560, 0.000544, 0.001729, 0.000828667, 0.011587, 0.192394, 0.0845084, 0, 0.014763, 0.001231, 0.003283, 0.195453, 0.101333
1570, 0.00052, 0.000718, 0.0005785, 0.208618, 0.561349, 0.339943, 0, 0.023802, 0.00198392, 1.05812, 1.46862, 1.3097
1580, 0.000763, 0.00135, 0.000945833, 0.016654, 0.196583, 0.0948484, 0, 0.023288, 0.00194125, 0.004064, 0.218833, 0.103397
